0.41  0.002962
0.42  0.008294
0.43  0.013362
0.44  0.021199
0.45  0.026979
0.46  0.030012
0.47  0.031592
0.48  0.037424
0.49  0.038360
0.50  0.046615
0.51  0.053007
0.52  0.062297
0.53  0.067655
0.54  0.074060
0.55  0.079865
0.56  0.087858
0.57  0.095517
0.58  0.097093
0.59  0.102501
0.60  0.105026
0.61  0.110097
0.62  0.116173
0.63  0.120793
0.64  0.124954
0.65  0.130759
0.66  0.134534
0.67  0.143684
0.68  0.145707
0.69  0.152575
0.70  0.159370
0.71  0.164812
0.72  0.174484
0.73  0.173969
0.74  0.183543
0.75  0.185832
0.76  0.187629
0.77  0.195256
0.78  0.196716
0.79  0.202828
0.80  0.208378
0.81  0.213163
0.82  0.213075
0.83  0.217401
0.84  0.216785
0.85  0.222887
0.86  0.220324
0.87  0.224022
0.88  0.224442
0.89  0.225243
0.90  0.226217
0.91  0.228427
0.92  0.229972
0.93  0.233815
0.94  0.235440
0.95  0.238647
0.96  0.240916
0.97  0.246565
0.98  0.247000
0.99  0.250759
1.00  0.253432
1.01  0.253785
1.02  0.255613
1.03  0.258609
1.04  0.259606
1.05  0.265426
1.06  0.267396
1.07  0.268240
1.08  0.271922
1.09  0.274274
1.10  0.276229
 
